Group;1926;1939;1959;1970;1979;1989;2002;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015 2)
0-4;14114;13806;13353;9326;10523;12032;6399;6660;6916;7066;7234;7433;7671;7968;8051;8380;8687;8899;9262
5-9;9420;11735;12415;11975;9707;11360;6941;6762;6583;6511;6503;6638;6783;7091;7117;7261;7441;7662;8004
10-14;10994;14158;8501;13202;9512;10592;10406;9314;8604;7940;7458;7056;6891;6610;6601;6567;6689;6823;7126
15-19;10947;9495;8975;12291;12385;9968;12801;12544;12212;11852;11244;10485;9650;8389;8237;7631;7152;6956;6829
20-24;8732;8744;11552;9706;12995;9755;11466;11870;12081;12098;12298;12457;12389;12169;12122;11599;10849;9971;9293
25-29;7324;10454;10591;7102;11902;12557;10613;10797;10879;11054;11130;11358;11667;11982;12012;12328;12556;12522;12620
30-34;5420;8820;11103;11708;8016;12863;9836;10030;10228;10316;10466;10537;10696;10980;11016;11116;11346;11661;12092
35-39;5171;7240;6423;9327;8399;11684;10216;9665;9416;9427;9485;9705;9885;10172;10211;10380;10459;10614;10884
40-44;4348;5315;6177;10925;10485;7663;12546;12155;11641;10925;10325;9800;9409;9241;9251;9340;9563;9751;10122
45-49;3790;4268;7167;6698;9376;7955;11606;11891;11906;12070;12084;11929;11634;10672;10561;10023;9545;9187;9140
50-54;3219;3710;5965;5253;9716;9593;10071;10447;10576;10738;10887;11037;11272;11483;11509;11560;11436;11184;10957
55-59;2787;3332;4751;6874;5596;8399;5347;6466;7737;8724;9164;9501;9755;10022;10063;10215;10382;10634;10873
60-64;2430;2775;3590;5510;5065;8360;7983;6387;5213;4458;4408;5014;5916;7832;7982;8380;8690;8948;9260
65-69;1721;2079;2664;4181;5492;4510;6345;7021;7567;7699;7572;6687;5565;4002;3913;3896;4453;5269;6428
70 и более;2212;2426;4303;5806;8200;9646;12469;12325;12242;12358;12605;13111;13554;14210;14219;14380;14099;13587;13377
